C40_8

Vehicle
PickingNum		DeliveryNum		Capacity
	10				8				100

Customer
Cus No.		XCOORD.		YCOORD.		Volume		Buffer		ServiceTime

	0		190		132		10		23		128		
	1		165		176		69		146		79		
	2		154		85		74		137		112		
	3		63		125		88		189		49		
	4		31		77		14		35		92		
	5		136		48		30		69		40		
	6		175		198		90		220		128		
	7		51		170		52		137		85		
	8		147		64		24		26		90		
	9		104		193		29		79		96		
	10		97		97		11		27		85		
	11		177		164		93		249		84		
	12		82		192		24		52		133		
	13		114		90		50		129		15		
	14		173		81		85		200		96		
	15		177		9		13		25		110		
	16		107		182		46		50		14		
	17		152		106		37		93		71		
	18		138		44		87		208		52		
	19		197		128		13		34		56		
	20		146		109		14		19		102		
	21		128		12		16		27		10		
	22		63		2		11		19		68		
	23		20		22		29		78		61		
	24		9		158		43		77		73		
	25		66		53		55		131		40		
	26		154		25		35		65		86		
	27		28		176		15		26		103		
	28		158		163		11		12		122		
	29		76		150		86		129		113		
	30		8		194		48		134		122		
	31		112		31		72		135		57		
	32		57		40		20		35		47		
	33		27		146		75		188		103		
	34		179		53		66		144		77		
	35		23		158		13		35		124		
	36		21		175		44		111		92		
	37		152		12		80		185		70		
	38		160		32		11		27		140		
	39		196		95		51		67		101		
	40		185		73		33		75		54		
