C20_1

Vehicle
PickingNum		DeliveryNum		Capacity
	8				6				80

Customer
Cus No.		XCOORD.		YCOORD.		Volume		Buffer		ServiceTime

	0		45		6		71		159		95		
	1		92		138		11		12		91		
	2		11		102		61		88		60		
	3		5		43		18		24		77		
	4		61		107		48		56		109		
	5		120		63		50		95		37		
	6		53		33		14		17		63		
	7		50		74		21		29		32		
	8		141		102		62		155		63		
	9		7		68		14		20		86		
	10		94		55		31		75		89		
	11		19		66		17		32		80		
	12		147		143		8		23		51		
	13		142		50		6		8		67		
	14		56		128		18		23		64		
	15		80		104		25		37		43		
	16		38		80		70		199		19		
	17		45		77		30		69		39		
	18		141		31		7		15		86		
	19		116		48		51		131		63		
	20		12		13		33		89		95		
