C20_8

Vehicle
PickingNum		DeliveryNum		Capacity
	8				6				80

Customer
Cus No.		XCOORD.		YCOORD.		Volume		Buffer		ServiceTime

	0		12		129		55		113		91		
	1		6		10		20		48		104		
	2		46		108		57		90		20		
	3		27		135		11		20		97		
	4		113		94		69		125		29		
	5		87		10		12		36		27		
	6		53		104		54		134		117		
	7		36		113		65		175		80		
	8		87		49		38		86		25		
	9		130		28		44		123		89		
	10		2		62		58		126		62		
	11		131		28		16		18		45		
	12		25		36		66		116		118		
	13		11		132		15		20		64		
	14		11		28		28		82		51		
	15		112		88		62		100		22		
	16		15		126		14		33		63		
	17		144		17		12		28		15		
	18		88		41		27		34		75		
	19		79		57		54		92		49		
	20		66		91		59		169		27		
