C40_4

Vehicle
PickingNum		DeliveryNum		Capacity
	10				8				100

Customer
Cus No.		XCOORD.		YCOORD.		Volume		Buffer		ServiceTime

	0		132		115		17		51		77		
	1		197		59		44		51		70		
	2		101		148		10		16		69		
	3		99		148		22		46		93		
	4		125		122		51		76		105		
	5		33		119		70		207		63		
	6		167		195		17		37		128		
	7		120		89		6		10		91		
	8		78		40		8		10		67		
	9		117		63		10		23		113		
	10		81		166		93		243		105		
	11		17		135		38		94		85		
	12		127		85		73		74		92		
	13		39		185		57		165		88		
	14		49		164		8		24		53		
	15		19		45		78		99		110		
	16		18		113		25		68		58		
	17		11		153		13		24		115		
	18		87		164		60		62		85		
	19		7		57		70		85		112		
	20		154		55		24		56		60		
	21		3		4		25		48		127		
	22		27		31		40		83		82		
	23		198		171		79		146		117		
	24		143		76		15		42		49		
	25		54		177		84		139		97		
	26		48		181		68		77		135		
	27		42		167		13		37		138		
	28		111		172		76		119		39		
	29		30		118		65		131		86		
	30		174		132		84		138		31		
	31		149		61		67		71		58		
	32		131		62		61		116		88		
	33		182		87		45		111		59		
	34		25		50		15		39		82		
	35		75		27		23		28		30		
	36		196		192		19		51		126		
	37		109		85		51		126		93		
	38		115		68		70		191		33		
	39		143		79		62		97		20		
	40		101		63		76		77		69		
