C40_9

Vehicle
PickingNum		DeliveryNum		Capacity
	10				8				100

Customer
Cus No.		XCOORD.		YCOORD.		Volume		Buffer		ServiceTime

	0		175		102		45		119		127		
	1		162		127		11		31		41		
	2		41		147		36		58		102		
	3		12		148		28		68		76		
	4		105		180		34		55		116		
	5		48		197		64		70		118		
	6		190		28		58		128		52		
	7		83		6		80		186		124		
	8		178		158		14		39		110		
	9		89		129		33		64		50		
	10		87		43		8		19		82		
	11		134		34		56		154		91		
	12		159		194		70		165		42		
	13		88		93		69		90		64		
	14		158		115		74		160		34		
	15		159		43		17		34		41		
	16		38		150		46		131		73		
	17		46		39		29		30		31		
	18		106		161		36		59		53		
	19		16		78		42		122		56		
	20		94		114		82		238		56		
	21		191		176		51		119		35		
	22		156		105		20		25		119		
	23		152		91		18		33		129		
	24		162		125		65		119		126		
	25		73		104		83		122		109		
	26		48		47		24		55		31		
	27		179		136		52		62		56		
	28		136		117		12		30		99		
	29		2		41		21		31		27		
	30		135		123		71		173		130		
	31		45		49		18		49		68		
	32		124		90		12		35		140		
	33		49		41		31		74		10		
	34		81		90		62		81		102		
	35		68		97		78		200		28		
	36		106		62		85		137		20		
	37		85		164		65		158		36		
	38		198		80		56		94		53		
	39		139		56		33		44		139		
	40		173		67		75		176		76		
