C40_10

Vehicle
PickingNum		DeliveryNum		Capacity
	10				8				100

Customer
Cus No.		XCOORD.		YCOORD.		Volume		Buffer		ServiceTime

	0		145		122		90		254		93		
	1		106		98		43		125		83		
	2		35		98		39		82		33		
	3		12		80		80		106		60		
	4		104		198		38		68		20		
	5		28		147		92		108		85		
	6		39		5		78		219		43		
	7		128		34		15		38		139		
	8		50		112		66		68		128		
	9		85		26		88		104		54		
	10		6		112		84		137		91		
	11		76		27		54		124		138		
	12		33		122		35		66		104		
	13		149		61		5		14		124		
	14		138		122		91		151		37		
	15		77		84		57		82		43		
	16		101		88		47		83		68		
	17		50		85		79		165		67		
	18		55		93		66		91		89		
	19		108		60		74		186		74		
	20		14		28		29		60		61		
	21		98		166		70		195		92		
	22		172		84		62		79		40		
	23		50		176		10		14		74		
	24		102		189		68		83		121		
	25		63		62		50		140		26		
	26		79		7		22		65		56		
	27		152		74		10		22		79		
	28		161		163		14		15		59		
	29		183		52		6		8		113		
	30		102		53		90		146		65		
	31		31		14		36		55		77		
	32		139		139		65		95		122		
	33		48		131		52		69		80		
	34		55		94		19		48		98		
	35		129		126		50		62		45		
	36		108		19		9		22		71		
	37		131		186		43		86		46		
	38		101		69		42		96		125		
	39		11		133		65		139		45		
	40		106		102		35		98		90		
