C20_3

Vehicle
PickingNum		DeliveryNum		Capacity
	8				6				80

Customer
Cus No.		XCOORD.		YCOORD.		Volume		Buffer		ServiceTime

	0		42		64		20		43		85		
	1		97		56		11		33		76		
	2		124		92		57		157		59		
	3		93		123		16		40		36		
	4		44		14		71		169		46		
	5		2		94		42		103		42		
	6		26		129		57		104		74		
	7		146		131		68		84		110		
	8		33		39		20		25		54		
	9		64		7		48		85		68		
	10		4		8		21		33		73		
	11		81		38		54		153		93		
	12		25		147		17		19		115		
	13		111		59		37		75		68		
	14		28		2		36		57		63		
	15		16		143		51		69		99		
	16		127		117		37		42		83		
	17		96		2		72		208		47		
	18		136		138		32		70		72		
	19		24		32		59		121		80		
	20		82		131		40		56		43		
